V Mag,Proper name,Bayer designation,Distance,Spectral class,Mass,Radius,Luminosity
"1.74
",b'Alnair',b'\xce\xb1 Gru',"101
","B7
","4.0
","3.4
","260
"
"1.74
",b'Alnair',b'\xce\xb1 Gru',"101
","B7
","4.0
","3.4
","260
"
"1.74
",b'Alnair',b'\xce\xb1 Gru',"101
","B7
","4.0
","3.4
","260
"
"1.77
",b'Alioth',b'\xce\xb5 UMa',"81
","A1
","2.9
","4.2
","110
"
"1.77
",b'Alioth',b'\xce\xb5 UMa',"81
","A1
","2.9
","4.2
","110
"
"1.77
",b'Alioth',b'\xce\xb5 UMa',"81
","A1
","2.9
","4.2
","110
"
"1.77
",b'Alioth',b'\xce\xb5 UMa',"81
","A1
","2.9
","4.2
","110
"
"1.77
",b'Alioth',b'\xce\xb5 UMa',"81
","A1
","2.9
","4.2
","110
"
"1.77
",b'Alioth',b'\xce\xb5 UMa',"81
","A1
","2.9
","4.2
","110
"
"1.77
",b'Alioth',b'\xce\xb5 UMa',"81
","A1
","2.9
","4.2
","110
"
"1.77
",b'Alioth',b'\xce\xb5 UMa',"81
","A1
","2.9
","4.2
","110
"
"1.77
",b'Alnitak',b'\xce\xb6 Ori\n',"1050
","O9.7
","33
","20
","120,000
"
"1.77
",b'Alnitak',b'\xce\xb6 Ori\n',"1050
","O9.7
","33
","20
","120,000
"
"1.77
",b'Alnitak',b'\xce\xb6 Ori\n',"1050
","O9.7
","33
","20
","120,000
"
"1.77
",b'Alnitak',b'\xce\xb6 Ori\n',"1050
","O9.7
","33
","20
","120,000
"
"1.77
",b'Alnitak',b'\xce\xb6 Ori\n',"1050
","O9.7
","33
","20
","120,000
"
